,Name,Price,Links
106,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Headset - White,GH₵ 71.00,https://www.jumia.com.gh/phones-tablets/lenovo-lp40-wireless-earphone-bluetooth-5.0-headset-white-22654157.html
107,Wireless  Bluetooth 5.0 Earphones - 2200mAh Black,GH₵ 48.00,https://www.jumia.com.gh/phones-tablets/wireless-bluetooth-5.0-earphones-2200mah-black-generic-mpg456777.html
108,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 29.00,https://www.jumia.com.gh/phones-tablets/generic-fingerprint-touch-noise-cancelling-stereo-bluetooth-headset-black-31815088.html
109,P47 Wireless Foldable Bluetooth Headset -   Black,GH₵ 35.00,https://www.jumia.com.gh/phones-tablets/wireless-bluetooth-headset-with-fm-radio-feature-black-p47-mpg440772.html
110,P47 Wireless Headset -   White,GH₵ 35.00,https://www.jumia.com.gh/phones-tablets/wireless-headset-white-p47-mpg454476.html
111,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 36.48,https://www.jumia.com.gh/phones-tablets/tripod-stand-with-led-ring-light-for-phones-laptop-plastic-black-arhanory-mpg454979.html
112,Oraimo OCD-M53 Data cable 1 meter   5V2A Micro-USB,GH₵ 7.80,https://www.jumia.com.gh/phones-tablets/oraimo-ocd-m53-data-cable-1-meter-5v2a-micro-usb-42608447.html
113,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 34.00,https://www.jumia.com.gh/phones-tablets/tws-i12tws-wireless-bluetooth-5.0-sport-headset-white-19852625.html
114,TWS Air Pro 6 Bluetooth Earphone Earbuds HiFi Stereo Touch Sensor Control Mic For Android & IOS,GH₵ 55.00,https://www.jumia.com.gh/phones-tablets/air-pro-6-bluetooth-earphone-earbuds-hifi-stereo-touch-sensor-control-mic-for-android-ios-tws-mpg453585.html
115,Wireless Bluetooth Earphones - White,GH₵ 37.50,https://www.jumia.com.gh/phones-tablets/air-3-pro-bluetooth-wireless-earphones-white-generic-mpg448815.html
116,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 37.00,https://www.jumia.com.gh/phones-tablets/generic-wireless-bluetooth-earphone-for-iphone-samsung-pods-black-22600679.html
117,Itel A16 Plus - 8GB HDD - 1GB RAM - Champagne Gold,GH₵ 249.00,https://www.jumia.com.gh/phones-tablets/itel-a16-plus-8gb-hdd-1gb-ram-champagne-gold-33067474.html
118,Oraimo FreePods3 True Wireless Stereo Earbuds - Black,GH₵ 176.00,https://www.jumia.com.gh/phones-tablets/oraimo-freepods3-true-wireless-stereo-earbuds-black-41220617.html
119,Air Pro 6 Bluetooth Headset 5.0 Stereo Sport Music Earphones With Mic For IOS Android IPhone,GH₵ 47.04,https://www.jumia.com.gh/phones-tablets/generic-air-pro-6-bluetooth-headset-5.0-stereo-sport-music-earphones-with-mic-for-ios-android-iphone-31039339.html
120,Mini touch HIFI Bluetooth sports headset-white,GH₵ 33.60,https://www.jumia.com.gh/phones-tablets/i-12-mini-t-w-s-wireless-bluetooth-headset-white-generic-mpg449396.html
121,20000 mAH  Power Bank with inbuilt Cables - Black,GH₵ 66.96,https://www.jumia.com.gh/phones-tablets/white-label-20000-mah-power-bank-with-inbuilt-cables-black-34908722.html
122,Wireless Bluetooth Earphone For iPhone Samsung Pods - White,GH₵ 36.00,https://www.jumia.com.gh/phones-tablets/generic-wireless-bluetooth-earphone-for-iphone-samsung-pods-white-22600678.html
123,TWS Wireless Bluetooth Earphones - White,GH₵ 40.00,https://www.jumia.com.gh/phones-tablets/wireless-bluetooth-earphones-white-tws-mpg430467.html
124,F9 Bluetooth Earphone - Black,GH₵ 59.00,https://www.jumia.com.gh/phones-tablets/f9-bluetooth-earphone-black-generic-mpg446112.html
125,Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 48.00,https://www.jumia.com.gh/phones-tablets/wireless-bluetooth-5.0-waterproof-headphones-black-generic-mpg456030.html
126,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00,https://www.jumia.com.gh/phones-tablets/generic-c3-bluetooth-5.0-wireless-headsets-10d-stereo-headphones-with-led-sports-earphone-pro3-33321072.html
127,Samsung Galaxy SM-A127F/DS - 64GB HDD - 4GB RAM Smartphone - Blue,GH₵ 989.77,https://www.jumia.com.gh/phones-tablets/samsung-galaxy-sm-a127fds-64gb-hdd-4gb-ram-smartphone-blue-31796753.html
128,116 Plus Waterproof Smart Watch - Black,GH₵ 39.00,https://www.jumia.com.gh/phones-tablets/generic-116-plus-waterproof-smart-watch-black-13349944.html
129,Oraimo Conch in-Ear Wired Earphones with Mic,GH₵ 14.00,https://www.jumia.com.gh/phones-tablets/oraimo-conch-in-ear-wired-earphones-with-mic-44687831.html
